X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1768449.7961,5914928.0669,439019,6146-a646c886,6146,Butley Drive/Farm Cove Intermediate,,Stop,-36.89661,174.89055,,Bus
1769918.0294,5915285.0989,439020,6147-158df35d,6147,15 Casuarina Road,,Stop,-36.89313,174.90694,,Bus
1768874.6936,5914821.9628,439021,6148-90edaba6,6148,Wakaaranga School,,Stop,-36.89749,174.89534,,Bus
1769625.5021,5915189.9374,439022,6149-41b15ba7,6149,Kereru Place,,Stop,-36.89404,174.90368,,Bus
1769928.6566,5915281.5567,439023,6150-484b4e8c,6150,4 Casuarina Road,,Stop,-36.89316,174.90706,,Bus
1769330.8531,5915032.6528,439024,6151-dbd3df9a,6151,Casuarina Road/Pigeon Mountain Road,,Stop,-36.89551,174.90041,,Bus
1769545.5275,5915158.2351,439025,6152-2d6bdf0d,6152,Kereru Place,,Stop,-36.89434,174.90279,,Bus
1769944.6742,5917734.1748,439026,6153-acf65b21,6153,Whitcombe Road,,Stop,-36.87106,174.90669,,Bus
1769952.7855,5917738.4525,439027,6154-02b73b41,6154,Whitcombe Road,,Stop,-36.87102,174.90678,,Bus
1770093.4875,5917059.6956,439028,6155-7b0a5330,6155,Sea Spray Drive,,Stop,-36.87711,174.90851,,Bus
1768212.7217,5905266.4152,439029,6156-60626963,6156,Manukau Sports Bowl,,Stop,-36.9837,174.89004,,Bus
1770297.9937,5916852.4867,439030,6157-c3fe642e,6157,Oliver Road,,Stop,-36.87894,174.91085,,Bus
1770095.603,5917076.3022,439031,6158-2467711b,6158,Sea Spray Drive,,Stop,-36.87696,174.90853,,Bus
1770067.163,5915565.1488,439032,6159-80d41e30,6159,Gills Road,,Stop,-36.89058,174.90855,,Bus
1770335.0954,5916835.0949,439033,6160-32bda325,6160,Oliver Road,,Stop,-36.87909,174.91127,,Bus
1769806.326,5918934.5435,439034,6161-3c7ca3ea,6161,Lynton Road,,Stop,-36.86027,174.90487,,Bus
1770081.8213,5915584.8343,439035,6162-8b80a0c0,6162,Gills Road,,Stop,-36.8904,174.90871,,Bus
1770105.963,5918308.1127,439036,6163-4f9afca8,6163,Bucklands Beach School,,Stop,-36.86586,174.90837,,Bus
1769045.1284,5913665.3633,439037,6174-453063c6,6174,Cascades Road/Lloyd Elsmore Park,,Stop,-36.90788,174.89751,,Bus
1769250.4824,5913324.9672,439038,6176-1048c476,6176,Hope Farm Avenue,,Stop,-36.91091,174.89989,,Bus
1771297.3993,5915428.3471,439039,6178-9e3b564e,6178,Patons Road,,Stop,-36.89159,174.92238,,Bus
1769026.6388,5913676.8304,439040,6181-ae490a2f,6181,Cascades Road/Lloyd Elsmore Park,,Stop,-36.90778,174.8973,,Bus
1768105.1258,5905094.2909,439041,6182-8544e5f6,6182,Redoubt North School,,Stop,-36.98527,174.88887,,Bus
1769220.5884,5913345.5414,439042,6183-3a45874f,6183,Hope Farm Avenue,,Stop,-36.91073,174.89955,,Bus
1770583.6455,5908436.7583,439043,6184-5822e21d,6184,Amon Avenue,,Stop,-36.95471,174.91595,,Bus
1771184.732,5915810.2151,439044,6185-b1e15683,6185,Murvale Reserve,,Stop,-36.88817,174.92103,,Bus
1770460.9374,5915951.2887,439045,6186-a4d28ed7,6186,Wycherley Drive,,Stop,-36.88703,174.91288,,Bus
1768866.5992,5911590.0216,439046,6188-92ded8c0,6188,Harris Road,,Stop,-36.92661,174.89597,,Bus
1768189.875,5905236.9005,439047,6189-e026c154,6189,Manukau Sports Bowl,,Stop,-36.98397,174.88979,,Bus
1767928.2579,5909337.7283,439048,6190-cbbda18a,6190,Andromeda Crescent,,Stop,-36.94707,174.88594,,Bus
1766657.9167,5907661.2717,439049,6191-7bd7c621,6191,Otara Transport Centre,,Stop,-36.9624,174.87205,,Bus
1770011.7005,5908522.6074,439050,6192-832789b9,6192,Cyril French Park,,Stop,-36.95404,174.90951,,Bus
1770581.445,5916269.6424,439051,6193-05bc34d8,6193,Macleans Road,,Stop,-36.88414,174.91416,,Bus
1770122.7552,5908996.5461,439052,6194-4a979f5f,6194,Gracechurch Drive,,Stop,-36.94975,174.91065,,Bus
1770203.7818,5915887.6244,439053,6195-4206438c,6195,Bucklands Beach Road,,Stop,-36.88765,174.91001,,Bus
1770222.9115,5909415.2052,439054,6196-5e67568e,6196,Ballybay Road,,Stop,-36.94596,174.91168,,Bus
1766696.9386,5907652.7353,439055,6197-ad7071c6,6197,Otara Transport Centre,,Stop,-36.96247,174.87249,,Bus
1770328.531,5909839.3034,439056,6198-424b8d2a,6198,Smales Road,,Stop,-36.94212,174.91277,,Bus
1768164.7347,5905002.0933,439057,6199-1aabca66,6199,Redoubt North School,,Stop,-36.98609,174.88956,,Bus
1771479.2992,5912911.7708,439058,6200-fa63e12d,6200,Northpark Avenue,,Stop,-36.91423,174.92499,,Bus
1772217.8014,5913069.9828,439059,6201-e59bcbfb,6201,Renway Rise,,Stop,-36.91267,174.93324,,Bus
1769768.1853,5914433.4476,439060,6202-279b2b84,6202,Aviemore Drive/Highland Park Drive,,Stop,-36.90083,174.90545,,Bus
1772471.2708,5913174.7257,439061,6203-02c541da,6203,Meadowland Reserve,,Stop,-36.91168,174.93606,,Bus
1771039.7171,5912725.2835,439062,6204-ae945e4d,6204,Millhouse Reserve,,Stop,-36.91599,174.9201,,Bus
1771860.0489,5913052.809,439063,6205-27e6c81c,6205,Meadowlands Shopping Centre,,Stop,-36.91289,174.92923,,Bus
1771569.6611,5912928.8153,439064,6207-63683370,6207,Northpark Avenue,,Stop,-36.91406,174.926,,Bus
1769915.2094,5913316.1383,439065,6208-9e8623e2,6208,Amerce Place,,Stop,-36.91087,174.90735,,Bus
1770008.9441,5914481.9116,439066,6209-4cff5378,6209,Woolworths Highland Park,,Stop,-36.90035,174.90814,,Bus
1770994.3691,5912686.2386,439067,6210-e136c1fd,6210,Millhouse Reserve,,Stop,-36.91635,174.9196,,Bus
1769722.5484,5914156.8768,439068,6211-83e50e21,6211,Aviemore Drive/Lloyd Elsmore Park,,Stop,-36.90333,174.905,,Bus
1770454.835,5912314.1545,439069,6212-e18d33a6,6212,Botany Road,,Stop,-36.9198,174.91363,,Bus
1769894.2928,5913339.8651,439070,6213-40c53071,6213,Amerce Place,,Stop,-36.91066,174.90711,,Bus
1770462.5251,5913985.5648,439071,6214-242236fa,6214,Bradbury Road/Lexington Drive,,Stop,-36.90474,174.91334,,Bus
1770833.2142,5914245.6156,439072,6215-8aa1edac,6215,Bradbury Road/Union Road,,Stop,-36.90233,174.91744,,Bus
1770158.3623,5913441.134,439073,6216-863a1548,6216,Bradbury Road/Lewisham Street,,Stop,-36.9097,174.91005,,Bus
1770640.4155,5914099.6477,439074,6217-02cb3b53,6217,Bradbury Road/Highland Park Drive,,Stop,-36.90368,174.91531,,Bus
1770450.0732,5913986.9246,439075,6219-f086f771,6219,Bradbury Road/Lexington Drive,,Stop,-36.90473,174.9132,,Bus
1770415.8787,5910196.061,439076,6220-3ae9ade7,6220,Carlingford Drive,,Stop,-36.93889,174.91367,,Bus
1770151.6145,5913415.7406,439077,6221-695a0398,6221,Bradbury Road/Lewisham Street,,Stop,-36.90993,174.90998,,Bus
1770910.4252,5913696.8635,439078,6222-d458b397,6222,Botany Road/Lexington Drive,,Stop,-36.90726,174.91843,,Bus
1770067.1649,5913204.3243,439079,6223-3402b98a,6223,Aviemore Drive,,Stop,-36.91185,174.90908,,Bus
1770496.2162,5908740.4212,439080,6224-6da25af1,6224,Cyril French Drive,,Stop,-36.95199,174.9149,,Bus
1770903.342,5913699.2259,439081,6225-11b0eaf9,6225,Botany Road/Lexington Drive,,Stop,-36.90724,174.91835,,Bus
1770479.6097,5908756.2942,439082,6227-f830282d,6227,Cyril French Drive,,Stop,-36.95185,174.91471,,Bus
1771995.4748,5907334.9185,439083,6228-616dfaf4,6228,Mission Heights Junior College,,Stop,-36.96438,174.93205,,Bus
1770814.5933,5913452.3843,439084,6229-5f91ab01,6229,Mirrabooka Avenue,,Stop,-36.90948,174.91741,,Bus
1770389.0969,5911525.1974,439085,6230-39c4dc10,6230,Paradice Ice Skating,,Stop,-36.92692,174.91307,,Bus
