room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16652539,1467,69608249,Private room,,Auckland,,Lynnmall,1,0.0,2,1.0,,34.0,,McCrea Way  Apartments,2017-07-19 00:25:06.231845,-36.90932,174.684679,0101000020E61000004128EFE3E8D56540A3CC0699647442C0
16841035,1467,112117068,Private room,,Auckland,,Lynfield South,4,5.0,2,1.0,,26.0,,Double bedroom in sunny auckland,2017-07-19 00:24:59.012752,-36.92607,174.719041,0101000020E6100000766F456202D7654043E73576897642C0
17700652,1467,117225548,Private room,,Auckland,,Avondale South,0,0.0,1,1.0,,36.0,,Rainbow's comfortable home for you,2017-07-19 00:24:31.281317,-36.91478,174.697529,0101000020E61000005F60562852D665407784D382177542C0
13589959,1467,78499911,Private room,,Auckland,,Blockhouse Bay,0,0.0,2,1.0,,27.0,,"Bedroom in a lively flat, close to great beaches",2017-07-19 00:24:31.255777,-36.91852,174.705796,0101000020E6100000B9347EE195D66540685C3810927542C0
17851628,1467,94723244,Private room,,Auckland,,Blockhouse Bay,0,0.0,1,0.0,,34.0,,COMFY ROOM FOR ONE,2017-07-19 00:24:30.530052,-36.922823,174.712586,0101000020E6100000CCB22781CDD66540917F66101F7642C0
19625054,1467,138046472,Private room,,Auckland,,Lynfield North,0,0.0,2,2.0,,30.0,,Central Auckland Comfort for One or Two,2017-07-19 00:24:21.512270,-36.916386,174.726212,0101000020E6100000CFBEF2203DD765409241EE224C7542C0
14220557,1467,86392216,Private room,,Auckland,,Rewarewa,14,5.0,2,1.0,,34.0,,Homely Environment In New Lynn,2017-07-19 00:24:20.152562,-36.91654,174.684389,0101000020E6100000C097C283E6D56540E8BCC62E517542C0
13178499,1467,73689051,Private room,,Auckland,,Mt Albert Central,17,5.0,2,1.0,,38.0,,Queen bed and lounge space in city fringe suburbia,2017-07-19 00:24:15.864619,-36.881493,174.727096,0101000020E6100000ADA1D45E44D7654093533BC3D47042C0
15905641,1467,3162921,Private room,,Auckland,,Onehunga South East,24,4.0,1,1.0,,15.0,,The Green Room,2017-07-19 00:23:59.920216,-36.922197,174.785128,0101000020E61000009065C1C41FD9654012BC218D0A7642C0
19808947,1467,125306422,Private room,,Auckland,,Orakei North,0,0.0,2,1.0,,34.0,,Private room by Iconic Beach Orakei,2017-07-19 00:23:41.413674,-36.858094,174.826255,0101000020E6100000026553AE70DA654069723106D66D42C0
